schoolCode,schoolName,contactNumber
AP108,St. Ann's  E. M. High School Nellipaka East Godavari  India,"09494895717
"
AP109,De Paul (E M) School Yerravaram -7  (Via)  Chuchukonda  Visakhapatnam  India,"9493604621
"
AP110,Sri Veda English Medium High School Sy. No. 375  609  611-2  608-1A & 605 - B  Near Arogyavaram  Pothapolu (V)  Madanapalle  Chittoor  India,
AP111,St Paul's High School Door No. 8-15-42Near Nagavali Hotel  Srikakulam  India,"9703033531
"
AP112,Avenues The Global School D.no : 4-298/32  33  Bijapuri Township  East Godavari  India,
AR001,Don Bosco School Bosco Nagar  Khonsa  Tirap  India,"9612481299
"
AR002,Light Of The World School Miao P.O. Changlang  India,"03807-223282
"
AR003,Newman School Neotan  Miao  Namphai - 1  Changlang  India,"03807-200099
"
AR004,St. George's School Deomali Tirap  India,
AR005,Holy Rosary School 1 Mile  Laktong  Changlang  India,"03808-223578
"
AR006,Christ King School Khonsa  Khonsa  Tirap  India,"03786-223602
"
AR007,Don Bosco SchoolP.O. : Longding  Longding  India,"09402784938
"
AR008,Don Bosco School Nonpu  Doimukh  Papum Pare  India,"03602001569
"
AR009,Krick & Boury Memorial School Post Box No. 4  Tribal Colony  Lohit  India,"08974385171
"
AR010,Don Bosco School Mebo P.o. East Siang  India,"08014792642
"
AR011,Don Bosco School Galenja  Bordumsa  Changlang  India,"+919402668391
"
AR012,St. Jude School P.o. Diyun Changlang  India,"+919862823360
"
AR013,St. Xavier's School Lazo P.o. And P.s.  Via Khonsa  Tirap  India,"9912758185
"
AR014,St. Mary's School Samoguri I  Namsai Dist.  Lohit  India,"09435355030
"
AR015,Mount Carmel School Kumari  Mahadevpur  Namsai  India,"6281661745
"
AS001,Carmel School Digboi  Upper Assam  Tinsukia  India,"03751-264279
"
AS003,Carmel School Cinnamara P. O. Jorhat  India,"0376-2360891
"
AS004,The Assam Valley School P.o. &T.o. Balipara Sonitpur  India,"09678074320
"
AS005,Don Bosco School Sashipur  Darranga MelaBaksa  Nalbari  India,"03624-284390
"
AS006,Sanskriti The Gurukul Village Gugh  Ahomgaon  P.o. GarchukGuwahati  Kamrup  India,"7399044071
"
AS008,Shiksha The Gurukul N.h. 37  Chotahapjan  P.o. Borhapjan  Tinsukia  India,"9859944321
"
BI001,Mount Assisi School 13  Mahatma Gandhi Path Bhagalpur  India,"09661769535
"
BI002,Carmel School Post Box No. 2  Barari Road  Bhagalpur  India,"09939389167
"
BI003,North Point Children's School P. O. Ramna Muzaffarpur  India,"0621-2270275
"
BI004,St. Joseph's Convent High School P. O. Bankipore Patna  India,"0612-2677620
"
BI005,Don Bosco Academy P. O. Digha Ghat Patna  India,"0612-2560212
"
BI008,St. Paul's School Main Road  Opp. G. D. College  Begusarai  India,"06243-242310
"
BI009,St. Paul's High School Fair Field Colony  Digha  Patna  India,"9608294714
"
BI011,St. Joseph's School T. N. B. College P. O. Bhagalpur  India,"7258961986
"
BI012,St. Paul's Academy M / 6  Shree Krishna Nagar Patna  India,"0612-2531875
"
BI013,G E M S English School Dehri-on-sone Rohtas  India,"9523098201
"
BI014,St. John's High SchoolEast Boring Canal Road  Patna  India,"0612-2522813
"
BI015,International School Boring Patliputra Road  Alpana Market  Patna  India,"0612-2263577
"
BI016,Lohia Nagar Mount Carmel High School A / 14  Kankarbagh Colony Patna  India,"0612-2352033
"
BI017,St. Albert's High School Patel Nagar  Patel Nagar  Patna  India,"0612-3206597
"
BI018,Christ Church High School Congress Maidan  Kadam Kuan  Patna  India,"0612-2687822
"
BI020,St. Teresa's School Aliganj  Near A.I.R. Transmission  Khiriband P. O.  Bhagalpur  India,"7717755017
"
BI021,St. Joseph's School Pakartalla  Kahalgaon  Bhagalpur  India,"09801681700
"
BI022,St. M.G. Public School Mithapur  Kannu Lal Road  Patna  India,"0612-2232767
"
BI023,Jesus And Mary Academy Hajiganj Kaimashikoh Patna  India,"8709291130
"
BI024,St. Xavier's High School West Gandhi Maidan  Gandhi Maidan Marg  Patna  India,"0612-2219563
"
BI025,Carmel High School Bailey Road  Bailey Road  Patna  India,"09341217620
"
BI026,Madonna English School Alalpatti - P. O.D. M. C. Darbhanga  India,"06272-247279
"
BI027,Red Carpet High School Road No. 2 - A  Rajendra Nagar  Patna  India,"0612-2687795
"
BI028,St. Joseph's School Jhajha  Jhajha  Jamui  India,"06349-223258
"
BI029,St. Paul's School Karngarh  C.t.s. RoadNathnagar  Bhagalpur  India,"07250077877
"
BI030,St. Joseph's School Jagatpur  Jagatpur  Banka  India,"8757981648
"
BI031,Holy Family School Bansitiker  P.O. Bishanpur Jichho  Bhagalpur  India,"09939046669
"
BI032,St. Joseph's Convent High School Jethuli Patna  India,"08002795844
"
BI033,St. Joseph's School Mahisouri Chowk  Sikandra Road  Jamui  India,"06345-224167
"
BI034,The Bishop's Heritage School P.o. & Village - AnandpurBeside Homeguard CampPatna  India,"7004618983
"
BI035,Ld Don Bosco School Swami Vivekanand Path  Opp Town Hall Manik Sarkar  Bhagalpur  India,"07091099018
"
BI036,Don Bosco School Mahant Nagar Katihar  India,"06452231046
"
BI037,Carmel School Churamanpur Village Buxar  India,"+917783081553
"
BI038,The Kirk View School Church Road  South Gandhi Maidan  Gaya  India,"0631-2220278
"
BI039,Ursuline Convent English Medium School Basant Bagh Kali Badi Chowk Purnea  India,"8252313143
"
BI039,Ursuline Convent English Medium School Basant Bagh Kali Badi Chowk Purnea  India,"8252313143
"
BI040,St. Francis Academy Chhota Bariyarpur East Champaran  India,"8987343503
"
BI042,Nazareth Academy Nazareth Hospital Campus  Patna  India,
BI043,St. Paul's Academy Meenapur Vaishali  India,"+919835264868
"
BI044,St. Mary's School (english Medium) Nai Bazar  Ward No.5  Buxar  India,
CG001,Rajkumar College G.e.road  G.E. Road  Raipur  India,"0771-4701051
"
CG002,Salem English School P.o. Box No. 46 Raipur  India,"0771-2234249
"
CG004,Carmel Convent Senior Secondary School _ Raigarh  India,"07762-232210
"
